decile,n_customers,n_churned,avg_predicted_proba,churn_rate,cumulative_churn_captured,pct_customers_contacted
0,75,42,0.524792577680508,0.56,0.20095693779904306,0.1
1,75,30,0.4182289341968443,0.4,0.3444976076555024,0.2
2,75,24,0.3573442270250378,0.32,0.45933014354066987,0.3
3,75,28,0.3074756927183992,0.37333333333333335,0.5933014354066986,0.4
4,75,17,0.2713516766399783,0.22666666666666666,0.6746411483253588,0.5
5,75,19,0.23487222988274042,0.25333333333333335,0.7655502392344498,0.6
6,75,15,0.20225233585481858,0.2,0.8373205741626795,0.7
7,75,12,0.16813942911077404,0.16,0.8947368421052632,0.8
8,75,13,0.13134690324337617,0.17333333333333334,0.9569377990430622,0.9
9,75,9,0.09143010912472746,0.12,1.0,1.0
