customer_id,age,tenure_months,num_products,has_credit_card,is_active_member,estimated_monthly_salary_zmw,balance_zmw,credit_score,num_complaints_last_year,avg_monthly_transactions,digital_engagement_score,churned
CUST-00001,30,34,2,0,1,14593.3,13111.94,617,0,15,65.9,0
CUST-00002,43,37,1,0,0,8360.57,0.0,642,1,4,67.8,0
CUST-00003,18,20,1,1,1,10382.62,21099.2,530,0,14,11.5,0
CUST-00004,57,48,2,0,1,10163.04,7560.48,541,1,0,61.4,0
CUST-00005,48,84,2,1,1,6715.44,15148.6,643,0,2,53.0,0
CUST-00006,36,70,1,1,1,17138.86,24501.54,634,0,7,69.1,1
CUST-00007,36,70,1,0,0,9235.42,24936.09,710,0,2,84.5,0
CUST-00008,44,59,2,1,0,16263.69,19330.79,574,1,13,40.9,0
CUST-00009,37,54,1,1,1,12367.25,26545.45,688,2,23,62.3,1
CUST-00010,37,50,1,0,0,10393.22,11730.4,433,0,4,93.7,0
CUST-00011,49,14,2,0,0,2765.04,23349.38,492,0,21,41.1,1
CUST-00012,46,13,1,1,1,9490.82,5425.28,734,0,22,77.9,0
CUST-00013,39,18,1,1,0,3097.13,0.0,771,2,23,87.0,1
CUST-00014,39,76,2,0,1,10558.71,4024.66,676,0,9,41.7,0
CUST-00015,42,28,1,1,1,15396.65,16954.62,546,0,28,65.9,0
CUST-00016,33,67,1,1,1,13883.44,34451.61,555,2,12,49.8,1
CUST-00017,35,12,1,0,0,4864.01,22971.27,624,0,6,56.5,1
CUST-00018,47,39,2,1,1,17745.54,14459.96,698,0,17,100.0,0
CUST-00019,38,18,1,1,1,1500.0,517.98,662,0,16,63.8,0
CUST-00020,24,68,1,0,0,7328.19,14934.58,726,0,13,42.9,0
CUST-00021,34,107,4,1,1,7743.63,33405.76,656,0,12,74.8,0
CUST-00022,48,10,1,1,1,14629.3,1864.83,720,0,21,63.2,0
CUST-00023,37,56,3,1,0,1500.0,0.0,761,0,8,100.0,0
CUST-00024,38,22,2,1,0,12986.56,31123.58,620,0,14,64.5,1
CUST-00025,48,69,2,0,0,9346.72,9577.2,725,2,9,52.0,1
CUST-00026,62,98,3,1,0,14441.65,6784.7,553,0,8,39.9,0
CUST-00027,31,32,1,0,1,12530.47,14525.83,681,1,11,29.0,0
CUST-00028,56,78,2,0,0,9454.63,8891.47,558,0,6,22.8,0
CUST-00029,25,44,1,0,1,5134.84,2217.97,661,0,19,57.5,0
CUST-00030,42,26,4,1,1,9389.25,13500.91,549,1,10,57.6,0
CUST-00031,26,36,1,1,0,14225.77,18233.26,613,0,11,48.3,0
CUST-00032,56,83,3,0,0,4175.13,7424.7,685,0,4,50.4,1
CUST-00033,50,61,2,1,1,6635.47,15029.97,609,0,13,72.6,0
CUST-00034,54,46,2,1,1,9688.19,43186.19,752,0,9,73.8,0
CUST-00035,29,43,2,1,0,19907.87,0.0,733,2,10,60.2,0
CUST-00036,48,29,2,1,1,1500.0,22173.13,657,0,0,58.3,0
CUST-00037,34,68,2,1,0,12089.59,5080.43,638,0,18,57.0,1
CUST-00038,35,114,1,0,0,10248.96,17697.64,684,0,9,28.1,0
CUST-00039,46,43,2,1,0,17505.47,8333.29,641,0,15,58.4,1
CUST-00040,51,16,1,1,1,13377.91,15798.02,613,0,8,28.9,1
CUST-00041,42,60,1,0,1,10727.28,10152.42,608,0,4,59.0,1
CUST-00042,32,65,1,1,1,10370.82,2300.33,538,1,17,38.6,0
